You searched for,Phylum,Class,Order,Family,Genus,Species,Subspecies,Similarity,Status,Process ID
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu157,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,78.62,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,75.34,Published,GBBAC1909-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,75.34,Published,GBBAC1905-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,reichenbachii,,72.6,Published,GBBAC1907-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,72.6,Published,GBBAC1901-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,71.69,Published,GBBAC1911-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,sp.,,70.79,Published,GBBAC2061-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,hydatis,,68.04,Published,GBBAC1903-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,67.41,Published,GBBAC2033-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flexibacteraceae,Gramella,forsetii,,67.39,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Muricauda,ruestringensis,,67.03,Published,GBBAC284-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,sp.,,66.67,Published,GBBAC2057-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,66.67,Published,GBBAC2055-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,66.67,Published,GBBAC2031-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,66.3,Published,GBBAC2053-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,66.21,Published,GBBAC2059-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Croceibacter,atlanticus,,66.21,Published,GBBAC2047-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,psychrotolerans,,66.21,Published,GBBAC2007-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,psychrophilum,,65.94,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,irgensii,,65.93,Published,GBBAC2017-15
>otu1571,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1572,Ascomycota,,,,,,,89.64,Private,
,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,anserina,,89,Published,GBFBA026-05
,Ascomycota,Ascomycota_class_incertae_sedis,Ascomycota_order_incertae_sedis,Ascomycota_family_incertae_sedis,Verticillium,nonalfalfae,,88.67,Published,GBSP10228-18
,Ascomycota,,,,,,,88.63,Private,
,Ascomycota,Sordariomycetes,,,,,,88.35,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria,colhounii,,88.35,Published,JRPAA4684-15
,Ascomycota,,,,,,,88.32,Private,
,Ascomycota,Sordariomycetes,Sordariomycetes_incertae_sedis,Sordariomycetes_family_incertae_sedis,Arthrosporium,hyalospora,,88.03,Published,HTWO003-08
,Ascomycota,,,,,,,87.88,Private,
,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,crassa,,87.7,Published,GBFBA027-05
,Ascomycota,Lecanoromycetes,Lecanorales,Peltigeraceae,Peltigera,malacea,,87.7,Published,JRPAA9703-15
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,87.38,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,87.38,Published,HY039-07
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,minima,,87.38,Published,LHM010-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.38,Published,LHM025-08
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Monocillium,mucidum,,87.25,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Monocillium,mucidum,,87.25,Published,HY037-07
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,sacchari,,87.11,Published,HY066-07
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM001-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM004-08
>otu1573,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1574,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria,colhounii,,88.35,Published,JRPAA4684-15
,Ascomycota,Eurotiomycetes,Onygenales,Myxotrichaceae,Myxotrichium,deflexum,,88.03,Published,LHM052-08
,Ascomycota,,,,,,,87.97,Private,
,Ascomycota,Ascomycota_class_incertae_sedis,Ascomycota_order_incertae_sedis,Pseudeurotiaceae,Pseudogymnoascus,pannorum,,87.06,Published,GBMIN43800-15
,Ascomycota,Ascomycota_class_incertae_sedis,Ascomycota_order_incertae_sedis,Pseudeurotiaceae,Pseudogymnoascus,pannorum,,87.06,Published,GBMIN43799-15
,Ascomycota,,,,,,,87.06,Private,
,Ascomycota,,,,,,,87,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Monocillium,mucidum,,86.93,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Monocillium,mucidum,,86.93,Published,HY037-07
,Ascomycota,,,,,,,86.89,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,veuillotiana,,86.73,Published,JRPAA4676-15
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,veuillotiana,,86.73,Published,JRPAA4674-15
,Ascomycota,Ascomycota_class_incertae_sedis,Ascomycota_order_incertae_sedis,Ascomycota_family_incertae_sedis,Verticillium,nonalfalfae,,86.41,Published,GBSP10228-18
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,consors,,86.41,Published,JRPAA4685-15
,Ascomycota,,,,,,,86.39,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,86.08,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,jecorina,,86.08,Published,HY039-07
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,86.08,Published,LHM014-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,86.08,Published,LHM023-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,86.08,Published,LHM029-08
>otu1579,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,sacchari,,88.15,Published,HY066-07
,Ascomycota,Sordariomycetes,,,,,,87.95,Private,
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.7,Published,LHM014-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.7,Published,LHM023-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.7,Published,LHM029-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.38,Published,LHM003-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.38,Published,LHM008-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,minima,,87.38,Published,LHM010-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM001-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM004-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM006-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,87.06,Published,LHM007-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM012-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM013-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM015-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM016-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM017-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM018-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM019-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,levissima,,87.06,Published,LHM020-08
>otu158,Ascomycota,,,,,,,89.81,Private,
,Ascomycota,,,,,,,85.96,Private,
,Ascomycota,,,,,,,84.69,Private,
,Ascomycota,Leotiomycetes,,,Synchaetomella,acerina,,84.36,Published,JRPAA5614-15
,Ascomycota,,,,,,,84.23,Private,
,Ascomycota,,,,,,,84.15,Private,
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Emericella,nidulans,,83.71,Published,GBFBA003-05
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,niger,,83.39,Published,GBFBA001-05
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.39,Published,LHM003-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.39,Published,LHM008-08
,Ascomycota,,,,,,,83.22,Private,
,Ascomycota,,,,,,,83.22,Private,
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,tubingensis,,83.06,Published,GBFBA002-05
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.06,Published,LHM001-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.06,Published,LHM004-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.06,Published,LHM006-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,83.06,Published,LHM007-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,sp.,,83.06,Published,LHM051-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,82.74,Published,LHM002-08
,Ascomycota,Leotiomycetes,Leotiomycetes_order_Incertae_sedis,Leotiomycetes_family_incertae_sedis,Leohumicola,verrucosa,,82.74,Published,LHM005-08
>otu1580,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Metarhizium,anisopliae,,87.7,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Metarhizium,anisopliae,,87.7,Published,HY040-07
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Emericellopsis,minima,,87.06,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Emericellopsis,minima,,87.06,Published,HY035-07
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,86.73,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,86.73,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,86.73,Published,HY041-07
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,86.73,Published,HY042-07
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,bassiana,,86.73,Published,JRPAA9713-15
,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Paecilomyces,hepiali,,86.08,Published,JRPAA8103-15
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,meliopsicola,,85.76,Published,JRPAA4671-15
,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Lecanicillium,muscarium,,85.44,Published,GBFBA006-05
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,pseudobassiana,,85.44,Published,JRPAA9791-15
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,pseudobassiana,,85.44,Published,JRPAA6829-15
,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Lecanicillium,muscarium,,85.44,Published,JRPAA4107-15
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Acremonium,murorum var. felina,,85.11,Published,HTWO007-08
,Ascomycota,,,,,,,84.97,Private,
,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,militaris,,84.79,Published,JRPAA5076-15
,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria,colhounii,,84.79,Published,JRPAA4684-15
,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaaceae,Monocillium,mucidum,,84.31,Private,
>otu1593,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Cladosiphon,zosterae,,81.23,Published,JRPAA9235-15
,Nematoda,Enoplea,Dorylaimida,Longidoridae,Xiphinema,brevicollum,,80.91,Published,GBMNA2990-19
,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,,,80.72,Published,GBMLG16637-13
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Chordariac,sp. 4GWS,,80.58,Private,
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Chordariac,sp. 4GWS,,80.58,Published,MACRO639-07
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Chordariac,sp. 4GWS,,80.58,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Chordariac,sp. 4GWS,,80.58,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Halothrix,lumbricalis,,80.58,Published,JRPAA9627-15
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Halothrix,lumbricalis,,80.58,Published,JRPAA9564-15
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,,,,80.58,Published,JRPAA9532-15
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,,,,80.58,Published,JRPAA9328-15
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Spermatochnus,paradoxus,,80.58,Published,MACRO4252-16
,Ochrophyta,Phaeophyceae,Ectocarpales,Punctariaceae,Punctaria,sp. 6GWS,,80.26,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Punctariaceae,Punctaria,sp. 6GWS,,80.26,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Punctariaceae,Punctaria,sp. 6GWS,,80.26,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Punctariaceae,Punctaria,sp. 6GWS,,80.26,Early-Release,
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Saundersella,simplex,,80.26,Published,MACRO2911-10
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Saundersella,simplex,,80.26,Published,MACRO2902-10
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Saundersella,simplex,,80.26,Published,MACRO2780-10
,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Saundersella,simplex,,80.26,Published,MACRO2482-10
>otu1595,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola,taffensis,,75,Published,GBBAC2035-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Winogradskyella,sp.,,73.81,Published,GBBAC2039-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,72.5,Published,GBBAC2033-15
,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,baltica,,72.5,Published,GBBAC1991-15
,Arthropoda,Insecta,Diptera,Tachinidae,Siphona,setosa,,72.37,Published,FIDIP3282-12
,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,,,72.37,Published,SSPEA889-15
,Arthropoda,Insecta,Diptera,Muscidae,Helina,fulvisquama,,72.37,Published,CNKLB453-14
,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,,,72.37,Published,GMCLL010-14
,Arthropoda,Insecta,Diptera,Agromyzidae,Agromyza,,,71.79,Published,CNGBJ1184-14
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,sp.,,71.79,Published,GBBAC2053-15
,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Solitalea,canadensis,,71.79,Published,GBBAC2019-15
,Arthropoda,Insecta,Coleoptera,Melandryidae,,,,71.79,Published,JIEEY439-16
,Arthropoda,Insecta,Diptera,Sphaeroceridae,Opalimosina,mirabilis,,71.43,Published,CNTIF3029-15
,Arthropoda,Insecta,Diptera,Muscidae,Helina,,,71.43,Published,PLMAZ066-20
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Croceibacter,atlanticus,,71.3,Published,GBBAC2047-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Zhouia,amylolytica,,71.3,Published,GBBAC2025-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Aquimarina,sp.,,71.3,Published,GBBAC2011-15
,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,marinum,,71.3,Published,GBBAC1983-15
,Arthropoda,Insecta,Diptera,Chironomidae,Gymnometriocnemus,,,71.05,Published,CNFNC728-14
,Arthropoda,Insecta,Diptera,Chironomidae,Gymnometriocnemus,,,71.05,Published,CNFNC1677-14
>otu1599,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1602,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
>otu1604,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,79.49,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,76.85,Published,GBBAC1905-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,75,Published,GBBAC1909-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,74.07,Published,GBBAC1911-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,reichenbachii,,74.07,Published,GBBAC1907-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,sp.,,70.98,Published,GBBAC2061-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,70.83,Published,GBBAC1901-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,sp.,,69.44,Published,GBBAC2057-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,69.44,Published,GBBAC2055-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,hydatis,,69.44,Published,GBBAC1903-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cellulophaga,baltica,,68.98,Published,GBBAC2059-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,psychrophilum,,68.86,Private,
